family,father,mother,gender,height,kids,male,female
1,199.39,170.18,M,185.928,4,1,0
1,199.39,170.18,F,175.768,4,0,1
1,199.39,170.18,F,175.26,4,0,1
1,199.39,170.18,F,175.26,4,0,1
2,191.77,168.91,M,186.69,4,1,0
2,191.77,168.91,M,184.15,4,1,0
2,191.77,168.91,F,166.37,4,0,1
2,191.77,168.91,F,166.37,4,0,1
3,190.5,162.56,M,180.34,2,1,0
3,190.5,162.56,F,172.72,2,0,1
4,190.5,162.56,M,179.07,5,1,0
4,190.5,162.56,M,173.99,5,1,0
4,190.5,162.56,F,170.18,5,0,1
4,190.5,162.56,F,163.83,5,0,1
4,190.5,162.56,F,160.02,5,0,1
5,190.5,148.59,M,182.88,6,1,0
5,190.5,148.59,M,175.26,6,1,0
5,190.5,148.59,M,172.72,6,1,0
5,190.5,148.59,F,168.91,6,0,1
5,190.5,148.59,F,158.75,6,0,1
5,190.5,148.59,F,158.75,6,0,1
6,187.96,172.72,F,176.53,1,0,1
7,187.96,172.72,M,194.31,6,1,0
7,187.96,172.72,M,187.96,6,1,0
7,187.96,172.72,M,185.42,6,1,0
7,187.96,172.72,M,185.42,6,1,0
7,187.96,172.72,F,179.07,6,0,1
7,187.96,172.72,F,162.56,6,0,1
8,187.96,168.91,F,179.07,3,0,1
8,187.96,168.91,F,172.72,3,0,1
8,187.96,168.91,F,167.64,3,0,1
9,189.23,167.64,F,167.64,1,0,1
10,187.96,166.37,F,166.37,1,0,1
11,187.96,157.48,M,187.96,8,1,0
11,187.96,157.48,M,177.8,8,1,0
11,187.96,157.48,F,172.72,8,0,1
11,187.96,157.48,F,170.18,8,0,1
11,187.96,157.48,F,170.18,8,0,1
11,187.96,157.48,F,167.64,8,0,1
11,187.96,157.48,F,161.29,8,0,1
11,187.96,157.48,F,160.02,8,0,1
12,187.96,154.94,F,165.1,1,0,1
14,185.42,170.18,M,172.72,2,1,0
14,185.42,170.18,M,170.18,2,1,0
15,185.42,168.91,M,180.34,3,1,0
15,185.42,168.91,M,179.07,3,1,0
15,185.42,168.91,F,169.418,3,0,1
16,185.42,165.1,M,182.88,9,1,0
16,185.42,165.1,M,179.07,9,1,0
16,185.42,165.1,M,178.308,9,1,0
16,185.42,165.1,M,178.308,9,1,0
16,185.42,165.1,M,175.768,9,1,0
16,185.42,165.1,F,174.498,9,0,1
16,185.42,165.1,F,168.91,9,0,1
16,185.42,165.1,F,163.83,9,0,1
16,185.42,165.1,F,161.29,9,0,1
17,185.42,163.83,M,187.96,6,1,0
17,185.42,163.83,M,185.42,6,1,0
17,185.42,163.83,M,181.61,6,1,0
17,185.42,163.83,M,158.75,6,1,0
17,185.42,163.83,F,168.91,6,0,1
17,185.42,163.83,F,158.242,6,0,1
18,185.42,162.56,F,167.64,3,0,1
18,185.42,162.56,F,163.83,3,0,1
18,185.42,162.56,F,162.56,3,0,1
19,185.928,160.02,F,159.258,1,0,1
20,184.658,175.26,M,185.928,8,1,0
20,184.658,175.26,M,185.42,8,1,0
20,184.658,175.26,M,184.658,8,1,0
20,184.658,175.26,F,177.8,8,0,1
20,184.658,175.26,F,175.26,8,0,1
20,184.658,175.26,F,173.99,8,0,1
20,184.658,175.26,F,172.72,8,0,1
20,184.658,175.26,F,167.64,8,0,1
21,182.88,172.72,M,185.42,3,1,0
21,182.88,172.72,F,173.99,3,0,1
21,182.88,172.72,F,172.72,3,0,1
22,182.88,170.18,M,185.42,3,1,0
22,182.88,170.18,M,180.34,3,1,0
22,182.88,170.18,F,170.18,3,0,1
23,182.88,165.1,M,188.468,7,1,0
23,182.88,165.1,M,179.07,7,1,0
23,182.88,165.1,M,176.53,7,1,0
23,182.88,165.1,F,167.64,7,0,1
23,182.88,165.1,F,166.37,7,0,1
23,182.88,165.1,F,165.1,7,0,1
23,182.88,165.1,F,165.1,7,0,1
24,182.88,166.37,F,166.37,1,0,1
25,182.88,162.56,F,167.64,2,0,1
25,182.88,162.56,F,160.02,2,0,1
26,182.88,160.02,M,179.07,5,1,0
26,182.88,160.02,M,179.07,5,1,0
26,182.88,160.02,M,175.26,5,1,0
26,182.88,160.02,F,165.1,5,0,1
26,182.88,160.02,F,160.02,5,0,1
27,182.88,160.02,M,175.26,3,1,0
27,182.88,160.02,M,170.18,3,1,0
27,182.88,160.02,F,160.02,3,0,1
28,182.88,160.02,M,185.42,6,1,0
28,182.88,160.02,M,170.18,6,1,0
28,182.88,160.02,F,179.07,6,0,1
28,182.88,160.02,F,177.8,6,0,1
28,182.88,160.02,F,168.91,6,0,1
28,182.88,160.02,F,160.02,6,0,1
29,184.15,161.29,F,171.45,3,0,1
29,184.15,161.29,F,170.688,3,0,1
29,184.15,161.29,F,169.418,3,0,1
30,182.88,157.48,F,162.56,1,0,1
31,184.15,157.48,M,180.34,6,1,0
31,184.15,157.48,M,177.8,6,1,0
31,184.15,157.48,M,177.8,6,1,0
31,184.15,157.48,F,167.64,6,0,1
31,184.15,157.48,F,165.1,6,0,1
31,184.15,157.48,F,165.1,6,0,1
32,182.88,157.48,M,187.96,5,1,0
32,182.88,157.48,M,182.88,5,1,0
32,182.88,157.48,M,175.26,5,1,0
32,182.88,157.48,F,171.45,5,0,1
